observation_id,source_id,publication_id,publication_url,author,published_at,captured_at,season_id,film_id,category,data_type,intent,rank,list_length,value_original,scale_original,value_normalized_5,participates_in_aggregate,extractor_version,status,notes
aw-20260715-radar-01,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-social-reckoning,best-picture,prediction_selection,nomination,,,The Social Reckoning,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-02,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,fatherland,best-picture,prediction_selection,nomination,,,Fatherland,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-03,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,all-of-a-sudden,best-picture,prediction_selection,nomination,,,Soudain (All of a Sudden),,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-04,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,being-heumann,best-picture,prediction_selection,nomination,,,Being Heumann,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-05,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,michael,best-picture,prediction_selection,nomination,,,Michael,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-06,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,sense-and-sensibility,best-picture,prediction_selection,nomination,,,Sense and Sensibility,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-07,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,saturn-return,best-picture,prediction_selection,nomination,,,Saturn Return,,,true,manual-v1,published,On the Radar; sin orden comparable
aw-20260715-radar-08,awardswatch,awards-alchemist-2026-07-15,https://awardswatch.com/2027-oscar-predictions-the-awards-alchemist-looks-to-the-aegean-sea-for-oscar-clarity/,Mark Johnson,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,primetime,best-picture,prediction_selection,nomination,,,Primetime,,,true,manual-v1,published,On the Radar; sin orden comparable
nbp-20260723-bp-01,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,best-picture,prediction_ordered,nomination,1,10,The Odyssey,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-02,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,la-bola-negra,best-picture,prediction_ordered,nomination,2,10,La Bola Negra,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-03,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,wild-horse-nine,best-picture,prediction_ordered,nomination,3,10,Wild Horse Nine,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-04,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,fjord,best-picture,prediction_ordered,nomination,4,10,Fjord,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-05,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,best-picture,prediction_ordered,nomination,5,10,Project Hail Mary,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-06,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,dune-part-three,best-picture,prediction_ordered,nomination,6,10,Dune: Part Three,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-07,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,behemoth,best-picture,prediction_ordered,nomination,7,10,Behemoth!,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-08,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,digger,best-picture,prediction_ordered,nomination,8,10,Digger,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-09,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,the-debut,best-picture,prediction_ordered,nomination,9,10,The Debut,,,true,manual-v1,published,Consenso de 17 miembros
nbp-20260723-bp-10,next-best-picture,oscars-best-picture-2026-07-23,https://predictions.nextbestpicture.com/oscars,Next Best Picture Team,2026-07-23,2026-07-24T11:17:17+02:00,oscars-2027,the-invite,best-picture,prediction_ordered,nomination,10,10,The Invite,,,true,manual-v1,published,Consenso de 17 miembros
ad-20260704-bp-01,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,best-picture,prediction_ordered,nomination,1,10,Project Hail Mary,,,true,manual-v1,published,
ad-20260704-bp-02,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,best-picture,prediction_ordered,nomination,2,10,The Odyssey,,,true,manual-v1,published,
ad-20260704-bp-03,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,fjord,best-picture,prediction_ordered,nomination,3,10,Fjord,,,true,manual-v1,published,
ad-20260704-bp-04,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,wild-horse-nine,best-picture,prediction_ordered,nomination,4,10,Wild Horse Nine,,,true,manual-v1,published,
ad-20260704-bp-05,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,cliff-booth,best-picture,prediction_ordered,nomination,5,10,The Adventures of Cliff Booth,,,true,manual-v1,published,
ad-20260704-bp-06,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,dune-part-three,best-picture,prediction_ordered,nomination,6,10,Dune Part III,,,true,manual-v1,published,Título publicado conservado
ad-20260704-bp-07,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,la-bola-negra,best-picture,prediction_ordered,nomination,7,10,La Bola Negra,,,true,manual-v1,published,
ad-20260704-bp-08,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,digger,best-picture,prediction_ordered,nomination,8,10,Digger,,,true,manual-v1,published,
ad-20260704-bp-09,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,obsession,best-picture,prediction_ordered,nomination,9,10,Obsession,,,true,manual-v1,published,
ad-20260704-bp-10,awards-daily,make-oscars-unpredictable-2026-07-04,https://www.awardsdaily.com/2026/07/04/2027-oscar-predictions-make-the-oscars-unpredictable-again/,Sasha Stone,2026-07-04,2026-07-24T11:17:17+02:00,oscars-2027,the-debut,best-picture,prediction_ordered,nomination,10,10,The Debut,,,true,manual-v1,published,
ar-20260720-bp-01,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,best-picture,prediction_ordered,nomination,1,10,The Odyssey,,,true,manual-v1,published,
ar-20260720-bp-02,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,best-picture,prediction_ordered,nomination,2,10,Project Hail Mary,,,true,manual-v1,published,
ar-20260720-bp-03,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,wild-horse-nine,best-picture,prediction_ordered,nomination,3,10,Wild Horse Nine,,,true,manual-v1,published,
ar-20260720-bp-04,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,dune-part-three,best-picture,prediction_ordered,nomination,4,10,Dune: Part Three,,,true,manual-v1,published,
ar-20260720-bp-05,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,fjord,best-picture,prediction_ordered,nomination,5,10,Fjord,,,true,manual-v1,published,
ar-20260720-bp-06,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,digger,best-picture,prediction_ordered,nomination,6,10,Digger,,,true,manual-v1,published,
ar-20260720-bp-07,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,the-social-reckoning,best-picture,prediction_ordered,nomination,7,10,The Social Reckoning,,,true,manual-v1,published,
ar-20260720-bp-08,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,the-debut,best-picture,prediction_ordered,nomination,8,10,The Debut,,,true,manual-v1,published,
ar-20260720-bp-09,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,cliff-booth,best-picture,prediction_ordered,nomination,9,10,The Adventures of Cliff Booth,,,true,manual-v1,published,
ar-20260720-bp-10,awards-radar,best-picture-2026-07-20,https://awardsradar.com/best-picture/,Awards Radar Team,2026-07-20,2026-07-24T11:17:17+02:00,oscars-2027,the-invite,best-picture,prediction_ordered,nomination,10,10,The Invite,,,true,manual-v1,published,
rt-20260724-odyssey,rotten-tomatoes,the-odyssey-2026,https://www.rottentomatoes.com/m/the_odyssey_2026,,2026-07-24,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,,score_aggregate,reception,,,94%,Tomatometer approval; 431 reviews,,false,manual-v1,published,Contexto; no es una nota individual ni se normaliza
rt-20260724-phm,rotten-tomatoes,project-hail-mary,https://www.rottentomatoes.com/m/project_hail_mary,,2026-07-24,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,score_aggregate,reception,,,95%,Tomatometer approval; 422 reviews,,false,manual-v1,published,Contexto; no es una nota individual ni se normaliza
mc-20260724-odyssey,metacritic,the-odyssey-2026,https://www.metacritic.com/movie/the-odyssey-2026/,,2026-07-24,2026-07-24T11:22:19+02:00,oscars-2027,the-odyssey,,score_aggregate,reception,,,88/100,Metascore; 62 critic reviews,,false,manual-v1,published,Contexto; agregado ponderado de tercero
mc-20260724-phm,metacritic,project-hail-mary,https://www.metacritic.com/movie/project-hail-mary/,,2026-07-24,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,score_aggregate,reception,,,77/100,Metascore; 60 critic reviews,,false,manual-v1,published,Contexto; agregado ponderado de tercero
mc-20260724-obsession,metacritic,obsession-2025,https://www.metacritic.com/movie/obsession-2025/,,2026-07-24,2026-07-24T11:17:17+02:00,oscars-2027,obsession,,score_aggregate,reception,,,77/100,Metascore; 37 critic reviews,,false,manual-v1,published,Contexto; agregado ponderado de tercero
guardian-20260715-odyssey-score,guardian,the-odyssey-review-2026-07-15,https://www.theguardian.com/film/2026/jul/15/the-odyssey-review-christopher-nolan-matt-damon,Peter Bradshaw,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,,score_individual,reception,,,5/5,stars,5.0000,true,manual-v1,published,Puntuación confirmada en el índice del medio
guardian-20260310-phm-score,guardian,project-hail-mary-review-2026-03-10,https://www.theguardian.com/film/2026/mar/10/project-hail-mary-review-ryan-goslings-charm-carries-unserious-last-ditch-space-mission,Peter Bradshaw,2026-03-10,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,score_individual,reception,,,3/5,stars,3.0000,true,manual-v1,published,Puntuación confirmada en el índice del medio
guardian-20260715-odyssey-review,guardian,the-odyssey-review-2026-07-15,https://www.theguardian.com/film/2026/jul/15/the-odyssey-review-christopher-nolan-matt-damon,Peter Bradshaw,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,La puntuación vive en una observación separada
guardian-20260310-phm-review,guardian,project-hail-mary-review-2026-03-10,https://www.theguardian.com/film/2026/mar/10/project-hail-mary-review-ryan-goslings-charm-carries-unserious-last-ditch-space-mission,Peter Bradshaw,2026-03-10,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,La puntuación vive en una observación separada
ebert-20260715-odyssey-review,roger-ebert,the-odyssey-review-2026-07-15,https://www.rogerebert.com/reviews/the-odyssey-christopher-nolan-matt-damon-film-review-2026,Matt Zoller Seitz,2026-07-15,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,Nota no transcrita porque los iconos no exponen el valor de forma verificable
ebert-20260310-phm-review,roger-ebert,project-hail-mary-review-2026-03-10,https://www.rogerebert.com/reviews/project-hail-mary-ryan-gosling-movie-review-2026,Robert Daniels,2026-03-10,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,Nota no transcrita porque los iconos no exponen el valor de forma verificable
variety-20260716-odyssey-review,variety,the-odyssey-review-2026-07-16,https://au.variety.com/2026/film/reviews/the-odyssey-review-christopher-nolan-38603/,Guy Lodge,2026-07-16,2026-07-24T11:17:17+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
variety-20260311-phm-review,variety,project-hail-mary-review-2026-03-11,https://au.variety.com/2026/film/reviews/project-hail-mary-review-ryan-gosling-34075/,Owen Gleiberman,2026-03-11,2026-07-24T11:17:17+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
thr-20260311-phm-review,hollywood-reporter,project-hail-mary-review-2026-03-11,https://es.hollywoodreporter.com/critica-proyecto-hail-mary/,David Rooney,2026-03-11,2026-07-24T11:34:10+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
nyt-20260319-phm-review,nytimes,project-hail-mary-review-2026-03-19,https://www.nytimes.com/2026/03/19/movies/project-hail-mary-gosling-review.html,Manohla Dargis,2026-03-19,2026-07-24T11:34:10+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,Paywall; solo metadatos y enlace
lat-20260715-odyssey-review,latimes,the-odyssey-review-2026-07-15,https://www.latimes.com/entertainment-arts/movies/story/2026-07-15/odyssey-review-christopher-nolan-matt-damon-anne-hathaway-tom-holland,Amy Nicholson,2026-07-15,2026-07-24T11:34:10+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
wp-20260717-odyssey-review,washington-post,nolan-films-ranked-2026-07-17,https://www.washingtonpost.com/entertainment/movies/2026/07/17/every-christopher-nolan-movie-ranked-including-odyssey/,Gene Park,2026-07-17,2026-07-24T11:34:10+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña comparativa enlazada; sin extracto almacenado,,,false,manual-v1,published,Paywall; la pieza revisa y ordena toda la filmografía
slant-20260310-phm-review,slant,project-hail-mary-review-2026-03-10,https://www.slantmagazine.com/film/project-hail-mary-review-ryan-gosling-phil-lord-christopher-miller/,Jake Cole,2026-03-10,2026-07-24T11:34:10+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,La nota gráfica no se transcribe sin extracción verificable
lwl-20260715-odyssey-review,little-white-lies,the-odyssey-review-2026-07-15,https://lwlies.com/reviews/the-odyssey-2,Hannah Strong,2026-07-15,2026-07-24T11:34:10+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,Tres subpuntuaciones conservadas en origen; no se sintetizan
tfs-20260715-odyssey-review,film-stage,the-odyssey-review-2026-07-15,https://thefilmstage.com/the-odyssey-review-christopher-nolans-journey-of-perpetual-enervating-awe/,Nick Newman,2026-07-15,2026-07-24T11:34:10+02:00,oscars-2027,the-odyssey,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
screen-20260310-phm-review,screen-daily,project-hail-mary-review-2026-03-10,https://www.screendaily.com/reviews/project-hail-mary-review-ryan-gosling-is-a-wise-cracking-hero-in-lord-and-millers-irreverent-sci-fi/5214641.article,Tim Grierson,2026-03-10,2026-07-24T11:34:10+02:00,oscars-2027,project-hail-mary,,review,reception,,,Reseña enlazada; sin extracto almacenado,,,false,manual-v1,published,
